"Tabela 3261 - Domicílios particulares permanentes, por classes de rendimento nominal mensal domiciliar per capita"
"Variável - Domicílios particulares permanentes (Unidades)"
"Bairro e Município";"Ano x Classes de rendimento nominal mensal domiciliar per capita"
"Monte Alegre (PA)";"13725"
"Muaná (PA)";"7028"
"Nova Esperança do Piriá (PA)";"4674"
"Nova Ipixuna (PA)";"3778"
"Nova Timboteua (PA)";"3647"
"Novo Progresso (PA)";"6923"
"Novo Repartimento (PA)";"15139"
"Óbidos (PA)";"11254"
"Oeiras do Pará (PA)";"5469"
"Oriximiná (PA)";"13673"
"Ourém (PA)";"4110"
"Ourilândia do Norte (PA)";"7079"
"Pacajá (PA)";"10041"
"Palestina do Pará (PA)";"1978"
"Paragominas (PA)";"24967"
"Parauapebas (PA)";"42726"
"Pau D'Arco (PA)";"1646"
"Peixe-Boi (PA)";"2209"
"Piçarra (PA)";"3495"
"Placas (PA)";"5564"
"Ponta de Pedras (PA)";"5828"
"Portel (PA)";"9606"
"Porto de Moz (PA)";"6060"
"Prainha (PA)";"6150"
"Primavera (PA)";"2644"
"Quatipuru (PA)";"3055"
"Redenção (PA)";"19881"
"Rio Maria (PA)";"5155"
"Rondon do Pará (PA)";"12535"
"Rurópolis (PA)";"9328"
"Salinópolis (PA)";"9078"
"Salvaterra (PA)";"5070"
"Santa Bárbara do Pará (PA)";"4460"
"Santa Cruz do Arari (PA)";"1501"
"Santa Izabel do Pará (PA)";"15251"
"Santa Luzia do Pará (PA)";"4645"
"Santa Maria das Barreiras (PA)";"5141"
"Santa Maria do Pará (PA)";"6341"
"Santana do Araguaia (PA)";"13832"
"Santarém (PA)";"70015"
"Santarém Novo (PA)";"1547"
"Santo Antônio do Tauá (PA)";"6970"
"São Caetano de Odivelas (PA)";"4239"
"São Domingos do Araguaia (PA)";"6003"
"São Domingos do Capim (PA)";"6404"
"São Félix do Xingu (PA)";"22357"
"São Francisco do Pará (PA)";"3935"
"São Geraldo do Araguaia (PA)";"6827"
"São João da Ponta (PA)";"1350"
"São João de Pirabas (PA)";"5043"
"São João do Araguaia (PA)";"3256"
"São Miguel do Guamá (PA)";"12641"
"São Sebastião da Boa Vista (PA)";"4846"
"Sapucaia (PA)";"1403"
"Senador José Porfírio (PA)";"3306"
"Soure (PA)";"5538"
"Tailândia (PA)";"16511"
"Terra Alta (PA)";"2595"
"Terra Santa (PA)";"3617"
"Tomé-Açu (PA)";"13565"
"Tracuateua (PA)";"6482"
"Trairão (PA)";"4027"
"Tucumã (PA)";"9450"
"Tucuruí (PA)";"23548"
"Ulianópolis (PA)";"8566"
"Uruará (PA)";"11252"
"Vigia (PA)";"11797"
"Viseu (PA)";"12358"
"Vitória do Xingu (PA)";"2976"
"Xinguara (PA)";"11438"
"Serra do Navio (AP)";"1146"
"Amapá (AP)";"1783"
"Pedra Branca do Amapari (AP)";"2516"
"Calçoene (AP)";"2246"
"Cutias (AP)";"1032"
"Ferreira Gomes (AP)";"1330"
"Itaubal (AP)";"948"
"Laranjal do Jari (AP)";"9830"
"Macapá (AP)";"94442"
"Mazagão (AP)";"3539"
"Oiapoque (AP)";"4643"
"Porto Grande (AP)";"4123"
"Pracuúba (AP)";"801"
"Santana (AP)";"22335"
"Tartarugalzinho (AP)";"2816"
"Vitória do Jari (AP)";"2754"
"Abreulândia (TO)";"760"
"Aguiarnópolis (TO)";"1322"
"Aliança do Tocantins (TO)";"1724"
"Almas (TO)";"2079"
"Alvorada (TO)";"2586"
"Ananás (TO)";"2640"
"Angico (TO)";"842"
"Aparecida do Rio Negro (TO)";"1250"
"Aragominas (TO)";"1691"
"Araguacema (TO)";"1828"
"Araguaçu (TO)";"2928"
"Araguaína (TO)";"43848"
"Araguanã (TO)";"1393"
"Araguatins (TO)";"8157"
"Arapoema (TO)";"1957"
"Arraias (TO)";"3159"
"Augustinópolis (TO)";"4306"
"Aurora do Tocantins (TO)";"1105"
"Axixá do Tocantins (TO)";"2452"
"Babaçulândia (TO)";"2524"
"Bandeirantes do Tocantins (TO)";"915"
"Barra do Ouro (TO)";"1014"
"Barrolândia (TO)";"1572"
"Bernardo Sayão (TO)";"1344"
"Bom Jesus do Tocantins (TO)";"1050"
"Brasilândia do Tocantins (TO)";"610"
"Brejinho de Nazaré (TO)";"1518"
"Buriti do Tocantins (TO)";"2282"
"Cachoeirinha (TO)";"560"
"Campos Lindos (TO)";"1882"
"Cariri do Tocantins (TO)";"1074"
"Carmolândia (TO)";"664"
"Carrasco Bonito (TO)";"938"
"Caseara (TO)";"1341"
"Centenário (TO)";"702"
"Chapada de Areia (TO)";"454"
"Chapada da Natividade (TO)";"927"
"Colinas do Tocantins (TO)";"9140"
"Combinado (TO)";"1437"
"Conceição do Tocantins (TO)";"1158"
"Couto Magalhães (TO)";"1421"
"Cristalândia (TO)";"2265"
"Crixás do Tocantins (TO)";"490"
"Darcinópolis (TO)";"1485"
"Dianópolis (TO)";"5154"
"Divinópolis do Tocantins (TO)";"1944"
"Dois Irmãos do Tocantins (TO)";"2275"
"Dueré (TO)";"1446"
"Esperantina (TO)";"2252"
"Fátima (TO)";"1138"
"Figueirópolis (TO)";"1734"
"Filadélfia (TO)";"2282"
"Formoso do Araguaia (TO)";"5354"
"Fortaleza do Tabocão (TO)";"688"
"Goianorte (TO)";"1526"
"Goiatins (TO)";"2990"
"Guaraí (TO)";"6978"
"Gurupi (TO)";"23242"
"Ipueiras (TO)";"518"
"Itacajá (TO)";"1880"
"Itaguatins (TO)";"1620"
"Itapiratins (TO)";"1057"
"Itaporã do Tocantins (TO)";"746"
"Jaú do Tocantins (TO)";"1141"
"Juarina (TO)";"678"
"Lagoa da Confusão (TO)";"2643"
"Lagoa do Tocantins (TO)";"899"
"Lajeado (TO)";"801"
"Lavandeira (TO)";"490"
"Lizarda (TO)";"1014"
"Luzinópolis (TO)";"727"
"Marianópolis do Tocantins (TO)";"1339"
"Mateiros (TO)";"556"
"Maurilândia do Tocantins (TO)";"850"
"Miracema do Tocantins (TO)";"5940"
"Miranorte (TO)";"3790"
"Monte do Carmo (TO)";"1885"
"Monte Santo do Tocantins (TO)";"686"
"Palmeiras do Tocantins (TO)";"1502"
"Muricilândia (TO)";"875"
"Natividade (TO)";"2605"
"Nazaré (TO)";"1223"
"Nova Olinda (TO)";"2992"
"Nova Rosalândia (TO)";"1139"
"Novo Acordo (TO)";"1060"
"Novo Alegre (TO)";"689"
"Novo Jardim (TO)";"654"
"Oliveira de Fátima (TO)";"319"
"Palmeirante (TO)";"1356"
"Palmeirópolis (TO)";"2362"
"Paraíso do Tocantins (TO)";"13410"
"Paranã (TO)";"2874"
"Pau D'Arco (TO)";"1308"
"Pedro Afonso (TO)";"3308"
"Peixe (TO)";"3289"
"Pequizeiro (TO)";"1514"
"Colméia (TO)";"2795"
"Pindorama do Tocantins (TO)";"1224"
"Piraquê (TO)";"863"
"Pium (TO)";"1982"
"Ponte Alta do Bom Jesus (TO)";"1318"
"Ponte Alta do Tocantins (TO)";"2028"
"Porto Alegre do Tocantins (TO)";"737"
"Porto Nacional (TO)";"13748"
"Praia Norte (TO)";"1835"
"Presidente Kennedy (TO)";"1076"
"Pugmil (TO)";"719"
"Recursolândia (TO)";"903"
"Riachinho (TO)";"1150"
"Rio da Conceição (TO)";"453"
"Rio dos Bois (TO)";"787"
"Rio Sono (TO)";"1680"
"Sampaio (TO)";"997"
"Sandolândia (TO)";"1123"
"Santa Fé do Araguaia (TO)";"1822"
"Santa Maria do Tocantins (TO)";"816"
"Santa Rita do Tocantins (TO)";"666"
"Santa Rosa do Tocantins (TO)";"1339"
"Santa Tereza do Tocantins (TO)";"661"
"Santa Terezinha do Tocantins (TO)";"683"
"São Bento do Tocantins (TO)";"1166"
"São Félix do Tocantins (TO)";"345"
"São Miguel do Tocantins (TO)";"2728"
"São Salvador do Tocantins (TO)";"826"
"São Sebastião do Tocantins (TO)";"1079"
"São Valério (TO)";"1345"
"Silvanópolis (TO)";"1541"
"Sítio Novo do Tocantins (TO)";"2416"
"Sucupira (TO)";"551"
"Taguatinga (TO)";"4340"
"Taipas do Tocantins (TO)";"529"
"Talismã (TO)";"800"
"Palmas (TO)";"68679"
"Tocantínia (TO)";"1661"
"Tocantinópolis (TO)";"6197"
"Tupirama (TO)";"478"
"Tupiratins (TO)";"646"
"Wanderlândia (TO)";"2913"
"Xambioá (TO)";"3186"
"Açailândia (MA)";"27484"
"Afonso Cunha (MA)";"1303"
"Água Doce do Maranhão (MA)";"2728"
"Alcântara (MA)";"6074"
"Aldeias Altas (MA)";"5786"
"Altamira do Maranhão (MA)";"2635"
"Alto Alegre do Maranhão (MA)";"5849"
"Alto Alegre do Pindaré (MA)";"7272"
"Alto Parnaíba (MA)";"2636"
"Amapá do Maranhão (MA)";"1503"
"Amarante do Maranhão (MA)";"9237"
"Anajatuba (MA)";"6490"
"Anapurus (MA)";"3326"
"Apicum-Açu (MA)";"3390"
"Araguanã (MA)";"3048"
"Araioses (MA)";"10251"
"Arame (MA)";"6929"
"Arari (MA)";"6925"
"Axixá (MA)";"2545"
"Bacabal (MA)";"26246"
"Bacabeira (MA)";"3657"
"Bacuri (MA)";"4210"
"Bacurituba (MA)";"1397"
"Balsas (MA)";"21277"
"Barão de Grajaú (MA)";"4726"
"Barra do Corda (MA)";"21633"
"Barreirinhas (MA)";"12133"
"Belágua (MA)";"1265"
"Bela Vista do Maranhão (MA)";"2978"
"Benedito Leite (MA)";"1419"
"Bequimão (MA)";"5637"
"Bernardo do Mearim (MA)";"1496"
"Boa Vista do Gurupi (MA)";"1817"
"Bom Jardim (MA)";"9592"
"Bom Jesus das Selvas (MA)";"6188"
"Bom Lugar (MA)";"3520"
"Brejo (MA)";"7934"
"Brejo de Areia (MA)";"1274"
"Buriti (MA)";"6049"
"Buriti Bravo (MA)";"5709"
"Buriticupu (MA)";"14973"
"Buritirana (MA)";"3775"
"Cachoeira Grande (MA)";"1770"
"Cajapió (MA)";"2590"
"Cajari (MA)";"4308"
"Campestre do Maranhão (MA)";"3518"
"Cândido Mendes (MA)";"4176"
"Cantanhede (MA)";"4713"
"Capinzal do Norte (MA)";"2880"
"Carolina (MA)";"6289"
"Carutapera (MA)";"5060"
"Caxias (MA)";"40155"
"Cedral (MA)";"2597"
"Central do Maranhão (MA)";"1979"
"Centro do Guilherme (MA)";"2593"
"Centro Novo do Maranhão (MA)";"3946"
"Chapadinha (MA)";"17647"
"Cidelândia (MA)";"3515"
"Codó (MA)";"29571"
"Coelho Neto (MA)";"11112"
"Colinas (MA)";"9873"
"Conceição do Lago-Açu (MA)";"3339"
"Coroatá (MA)";"15929"
"Cururupu (MA)";"8427"
"Davinópolis (MA)";"3318"
"Dom Pedro (MA)";"6204"
"Duque Bacelar (MA)";"2386"
"Esperantinópolis (MA)";"4808"
"Estreito (MA)";"9090"
"Feira Nova do Maranhão (MA)";"1987"
"Fernando Falcão (MA)";"1881"
"Formosa da Serra Negra (MA)";"3880"
"Fortaleza dos Nogueiras (MA)";"2850"
"Fortuna (MA)";"3926"
"Godofredo Viana (MA)";"2477"
"Gonçalves Dias (MA)";"4559"
"Governador Archer (MA)";"2577"
"Governador Edison Lobão (MA)";"4245"
"Governador Eugênio Barros (MA)";"4096"
"Governador Luiz Rocha (MA)";"1892"
"Governador Newton Bello (MA)";"2833"
"Governador Nunes Freire (MA)";"5815"
"Graça Aranha (MA)";"1698"
"Grajaú (MA)";"14912"
"Guimarães (MA)";"3326"
"Humberto de Campos (MA)";"5638"
"Icatu (MA)";"5776"
"Igarapé do Meio (MA)";"3017"
"Igarapé Grande (MA)";"2855"
"Imperatriz (MA)";"68561"
"Itaipava do Grajaú (MA)";"3280"
"Itapecuru Mirim (MA)";"15703"
"Itinga do Maranhão (MA)";"6620"
"Jatobá (MA)";"2138"
"Jenipapo dos Vieiras (MA)";"3638"
"João Lisboa (MA)";"5401"
"Joselândia (MA)";"3913"
"Junco do Maranhão (MA)";"986"
"Lago da Pedra (MA)";"11436"
"Lago do Junco (MA)";"2593"
"Lago Verde (MA)";"3684"
"Lagoa do Mato (MA)";"2684"
"Lago dos Rodrigues (MA)";"2061"
"Lagoa Grande do Maranhão (MA)";"2404"
"Lajeado Novo (MA)";"1831"
"Lima Campos (MA)";"3188"
"Loreto (MA)";"2670"
"Luís Domingues (MA)";"1587"
"Magalhães de Almeida (MA)";"4044"
"Maracaçumé (MA)";"4610"
"Marajá do Sena (MA)";"1759"
"Maranhãozinho (MA)";"3095"
"Mata Roma (MA)";"3537"
"Matinha (MA)";"5576"
"Matões (MA)";"7591"
"Matões do Norte (MA)";"2529"
"Milagres do Maranhão (MA)";"1799"
"Mirador (MA)";"4897"
"Miranda do Norte (MA)";"5195"
"Mirinzal (MA)";"3546"
"Monção (MA)";"7473"
"Montes Altos (MA)";"2388"
"Morros (MA)";"3772"
"Nina Rodrigues (MA)";"2540"
"Nova Colinas (MA)";"1188"
"Nova Iorque (MA)";"1207"
"Nova Olinda do Maranhão (MA)";"4525"
"Olho d'Água das Cunhãs (MA)";"4856"
"Olinda Nova do Maranhão (MA)";"3259"
"Paço do Lumiar (MA)";"27114"
"Palmeirândia (MA)";"4947"
"Paraibano (MA)";"5288"
"Parnarama (MA)";"8647"
"Passagem Franca (MA)";"4568"
"Pastos Bons (MA)";"4688"
"Paulino Neves (MA)";"2926"
"Paulo Ramos (MA)";"4752"
"Pedreiras (MA)";"10637"
"Pedro do Rosário (MA)";"5315"
"Penalva (MA)";"7883"
"Peri Mirim (MA)";"3598"
"Peritoró (MA)";"5591"
"Pindaré-Mirim (MA)";"7754"
"Pinheiro (MA)";"19494"
"Pio XII (MA)";"5395"
"Pirapemas (MA)";"4165"
"Poção de Pedras (MA)";"5305"
"Porto Franco (MA)";"5645"
"Porto Rico do Maranhão (MA)";"1560"
"Presidente Dutra (MA)";"11914"
"Presidente Juscelino (MA)";"2489"
"Presidente Médici (MA)";"1473"
